data,timeStamp,dataType,units,sensorType,supervisorID
17.65,03/22/2020-23:39:28,Temperature,C,BME280,2
34.87,03/22/2020-23:39:28,Humidity,%,BME280,2
840.33,03/22/2020-23:39:28,Pressure,hPa,BME280,2
1550.25,03/22/2020-23:39:28,Elevation,m,BME280,2
215.800101,03/22/2020-17:39:28,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04275,03/22/2020-17:39:28,raw Voltage,V,ADC1115_Pyra,1
215.800101,03/22/2020-17:39:29,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04275,03/22/2020-17:39:29,raw Voltage,V,ADC1115_Pyra,1
17.65,03/22/2020-23:39:29,Temperature,C,BME280,2
34.85,03/22/2020-23:39:29,Humidity,%,BME280,2
840.59,03/22/2020-23:39:29,Pressure,hPa,BME280,2
1548.7,03/22/2020-23:39:29,Elevation,m,BME280,2
215.800101,03/22/2020-17:39:30,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04275,03/22/2020-17:39:30,raw Voltage,V,ADC1115_Pyra,1
17.64,03/22/2020-23:39:30,Temperature,C,BME280,2
34.77,03/22/2020-23:39:30,Humidity,%,BME280,2
840.62,03/22/2020-23:39:30,Pressure,hPa,BME280,2
1548.14,03/22/2020-23:39:30,Elevation,m,BME280,2
215.800101,03/22/2020-17:39:31,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04275,03/22/2020-17:39:31,raw Voltage,V,ADC1115_Pyra,1
17.63,03/22/2020-23:39:31,Temperature,C,BME280,2
34.71,03/22/2020-23:39:31,Humidity,%,BME280,2
840.69,03/22/2020-23:39:31,Pressure,hPa,BME280,2
1547.42,03/22/2020-23:39:31,Elevation,m,BME280,2
215.800101,03/22/2020-17:39:32,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04275,03/22/2020-17:39:32,raw Voltage,V,ADC1115_Pyra,1
17.63,03/22/2020-23:39:33,Temperature,C,BME280,2
34.85,03/22/2020-23:39:33,Humidity,%,BME280,2
840.65,03/22/2020-23:39:33,Pressure,hPa,BME280,2
1547.53,03/22/2020-23:39:33,Elevation,m,BME280,2
215.1691065,03/22/2020-17:39:33,solar irradiance,w/m^2,ADC1115_Pyra,1
0.042625,03/22/2020-17:39:33,raw Voltage,V,ADC1115_Pyra,1
17.63,03/22/2020-23:39:34,Temperature,C,BME280,2
34.96,03/22/2020-23:39:34,Humidity,%,BME280,2
840.29,03/22/2020-23:39:34,Pressure,hPa,BME280,2
1551.22,03/22/2020-23:39:34,Elevation,m,BME280,2
215.800101,03/22/2020-17:39:34,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04275,03/22/2020-17:39:34,raw Voltage,V,ADC1115_Pyra,1
17.64,03/22/2020-23:39:35,Temperature,C,BME280,2
34.93,03/22/2020-23:39:35,Humidity,%,BME280,2
840.42,03/22/2020-23:39:35,Pressure,hPa,BME280,2
1549.33,03/22/2020-23:39:35,Elevation,m,BME280,2
214.5381121,03/22/2020-17:39:35,solar irradiance,w/m^2,ADC1115_Pyra,1
0.0425,03/22/2020-17:39:35,raw Voltage,V,ADC1115_Pyra,1
214.5381121,03/22/2020-17:39:36,solar irradiance,w/m^2,ADC1115_Pyra,1
0.0425,03/22/2020-17:39:36,raw Voltage,V,ADC1115_Pyra,1
17.64,03/22/2020-23:39:36,Temperature,C,BME280,2
34.7,03/22/2020-23:39:36,Humidity,%,BME280,2
840.51,03/22/2020-23:39:36,Pressure,hPa,BME280,2
1549.73,03/22/2020-23:39:36,Elevation,m,BME280,2
215.1691065,03/22/2020-17:39:37,solar irradiance,w/m^2,ADC1115_Pyra,1
0.042625,03/22/2020-17:39:37,raw Voltage,V,ADC1115_Pyra,1
17.62,03/22/2020-23:39:37,Temperature,C,BME280,2
34.62,03/22/2020-23:39:37,Humidity,%,BME280,2
840.55,03/22/2020-23:39:37,Pressure,hPa,BME280,2
1549.43,03/22/2020-23:39:37,Elevation,m,BME280,2
215.800101,03/22/2020-17:39:38,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04275,03/22/2020-17:39:38,raw Voltage,V,ADC1115_Pyra,1
17.63,03/22/2020-23:39:39,Temperature,C,BME280,2
34.85,03/22/2020-23:39:39,Humidity,%,BME280,2
840.57,03/22/2020-23:39:39,Pressure,hPa,BME280,2
1548.62,03/22/2020-23:39:39,Elevation,m,BME280,2
215.1691065,03/22/2020-17:39:39,solar irradiance,w/m^2,ADC1115_Pyra,1
0.042625,03/22/2020-17:39:39,raw Voltage,V,ADC1115_Pyra,1
17.63,03/22/2020-23:39:40,Temperature,C,BME280,2
34.78,03/22/2020-23:39:40,Humidity,%,BME280,2
840.58,03/22/2020-23:39:40,Pressure,hPa,BME280,2
1548.23,03/22/2020-23:39:40,Elevation,m,BME280,2
214.5381121,03/22/2020-17:39:40,solar irradiance,w/m^2,ADC1115_Pyra,1
0.0425,03/22/2020-17:39:40,raw Voltage,V,ADC1115_Pyra,1
17.63,03/22/2020-23:39:41,Temperature,C,BME280,2
34.88,03/22/2020-23:39:41,Humidity,%,BME280,2
840.47,03/22/2020-23:39:41,Pressure,hPa,BME280,2
1548.92,03/22/2020-23:39:41,Elevation,m,BME280,2
215.1691065,03/22/2020-17:39:41,solar irradiance,w/m^2,ADC1115_Pyra,1
0.042625,03/22/2020-17:39:41,raw Voltage,V,ADC1115_Pyra,1
17.63,03/22/2020-23:39:42,Temperature,C,BME280,2
34.88,03/22/2020-23:39:42,Humidity,%,BME280,2
840.52,03/22/2020-23:39:42,Pressure,hPa,BME280,2
1548.89,03/22/2020-23:39:42,Elevation,m,BME280,2
215.1691065,03/22/2020-17:39:42,solar irradiance,w/m^2,ADC1115_Pyra,1
0.042625,03/22/2020-17:39:42,raw Voltage,V,ADC1115_Pyra,1
215.1691065,03/22/2020-17:39:43,solar irradiance,w/m^2,ADC1115_Pyra,1
0.042625,03/22/2020-17:39:43,raw Voltage,V,ADC1115_Pyra,1
17.63,03/22/2020-23:39:43,Temperature,C,BME280,2
34.86,03/22/2020-23:39:43,Humidity,%,BME280,2
840.6,03/22/2020-23:39:43,Pressure,hPa,BME280,2
1548.94,03/22/2020-23:39:43,Elevation,m,BME280,2
214.5381121,03/22/2020-17:39:44,solar irradiance,w/m^2,ADC1115_Pyra,1
0.0425,03/22/2020-17:39:44,raw Voltage,V,ADC1115_Pyra,1
17.62,03/22/2020-23:39:44,Temperature,C,BME280,2
34.89,03/22/2020-23:39:44,Humidity,%,BME280,2
840.47,03/22/2020-23:39:44,Pressure,hPa,BME280,2
1549.38,03/22/2020-23:39:44,Elevation,m,BME280,2
214.5381121,03/22/2020-17:39:45,solar irradiance,w/m^2,ADC1115_Pyra,1
0.0425,03/22/2020-17:39:45,raw Voltage,V,ADC1115_Pyra,1
17.62,03/22/2020-23:39:46,Temperature,C,BME280,2
34.89,03/22/2020-23:39:46,Humidity,%,BME280,2
840.58,03/22/2020-23:39:46,Pressure,hPa,BME280,2
1548.76,03/22/2020-23:39:46,Elevation,m,BME280,2
215.1691065,03/22/2020-17:39:46,solar irradiance,w/m^2,ADC1115_Pyra,1
0.042625,03/22/2020-17:39:46,raw Voltage,V,ADC1115_Pyra,1
17.62,03/22/2020-23:39:47,Temperature,C,BME280,2
34.85,03/22/2020-23:39:47,Humidity,%,BME280,2
840.66,03/22/2020-23:39:47,Pressure,hPa,BME280,2
1547.84,03/22/2020-23:39:47,Elevation,m,BME280,2
213.9071176,03/22/2020-17:39:47,solar irradiance,w/m^2,ADC1115_Pyra,1
0.042375,03/22/2020-17:39:47,raw Voltage,V,ADC1115_Pyra,1
17.62,03/22/2020-23:39:48,Temperature,C,BME280,2
34.85,03/22/2020-23:39:48,Humidity,%,BME280,2
840.41,03/22/2020-23:39:48,Pressure,hPa,BME280,2
1549.89,03/22/2020-23:39:48,Elevation,m,BME280,2
214.5381121,03/22/2020-17:39:48,solar irradiance,w/m^2,ADC1115_Pyra,1
0.0425,03/22/2020-17:39:48,raw Voltage,V,ADC1115_Pyra,1
17.62,03/22/2020-23:39:49,Temperature,C,BME280,2
34.77,03/22/2020-23:39:49,Humidity,%,BME280,2
840.52,03/22/2020-23:39:49,Pressure,hPa,BME280,2
1548.48,03/22/2020-23:39:49,Elevation,m,BME280,2
213.9071176,03/22/2020-17:39:49,solar irradiance,w/m^2,ADC1115_Pyra,1
0.042375,03/22/2020-17:39:49,raw Voltage,V,ADC1115_Pyra,1
215.1691065,03/22/2020-17:39:50,solar irradiance,w/m^2,ADC1115_Pyra,1
0.042625,03/22/2020-17:39:50,raw Voltage,V,ADC1115_Pyra,1
17.61,03/22/2020-23:39:50,Temperature,C,BME280,2
34.77,03/22/2020-23:39:50,Humidity,%,BME280,2
840.62,03/22/2020-23:39:50,Pressure,hPa,BME280,2
1547.78,03/22/2020-23:39:50,Elevation,m,BME280,2
215.1691065,03/22/2020-17:39:51,solar irradiance,w/m^2,ADC1115_Pyra,1
0.042625,03/22/2020-17:39:51,raw Voltage,V,ADC1115_Pyra,1
17.61,03/22/2020-23:39:51,Temperature,C,BME280,2
34.85,03/22/2020-23:39:51,Humidity,%,BME280,2
840.47,03/22/2020-23:39:51,Pressure,hPa,BME280,2
1549.8,03/22/2020-23:39:51,Elevation,m,BME280,2
